% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0044791,"positive regulation by host of viral release from host cell",0.001%,-1.7375,0.786,0.574,"nucleotide-excision repair, DNA damage recognition"
GO:1902618,"cellular response to fluoride",0.000%,-2.0362,0.889,0.566,"nucleotide-excision repair, DNA damage recognition"
GO:0035037,"sperm entry",0.000%,-1.8633,0.865,0.387,"nucleotide-excision repair, DNA damage recognition"
GO:0000338,"protein deneddylation",0.017%,-1.4413,0.880,0.455,"nucleotide-excision repair, DNA damage recognition"
GO:0035900,"response to isolation stress",0.000%,-1.7375,0.913,0.278,"nucleotide-excision repair, DNA damage recognition"
GO:0051865,"protein autoubiquitination",0.016%,-0.7635,0.884,0.547,"nucleotide-excision repair, DNA damage recognition"
GO:0007274,"neuromuscular synaptic transmission",0.010%,-1.0250,0.866,0.263,"nucleotide-excision repair, DNA damage recognition"
GO:0030199,"collagen fibril organization",0.009%,-1.7852,0.814,0.339,"nucleotide-excision repair, DNA damage recognition"
GO:0031453,"positive regulation of heterochromatin assembly",0.002%,-2.0362,0.729,0.440,"nucleotide-excision repair, DNA damage recognition"
GO:0007229,"integrin-mediated signaling pathway",0.056%,-0.5166,0.759,0.535,"nucleotide-excision repair, DNA damage recognition"
GO:0070849,"response to epidermal growth factor",0.006%,-1.6615,0.883,0.503,"nucleotide-excision repair, DNA damage recognition"
GO:0007224,"smoothened signaling pathway",0.038%,-0.5120,0.764,0.605,"nucleotide-excision repair, DNA damage recognition"
GO:0031960,"response to corticosteroid",0.013%,-0.8339,0.874,0.682,"nucleotide-excision repair, DNA damage recognition"
GO:0071306,"cellular response to vitamin E",0.000%,-1.9431,0.868,0.452,"nucleotide-excision repair, DNA damage recognition"
GO:1904430,"negative regulation of t-circle formation",0.001%,-1.7959,0.700,0.595,"nucleotide-excision repair, DNA damage recognition"
GO:0036353,"histone H2A-K119 monoubiquitination",0.000%,-2.3372,0.828,0.240,"nucleotide-excision repair, DNA damage recognition"
GO:0044458,"motile cilium assembly",0.007%,-1.3261,0.807,0.670,"nucleotide-excision repair, DNA damage recognition"
GO:0032508,"DNA duplex unwinding",0.590%,-2.5229,0.835,0.631,"nucleotide-excision repair, DNA damage recognition"
GO:0032526,"response to retinoic acid",0.014%,-2.1549,0.871,0.219,"nucleotide-excision repair, DNA damage recognition"
GO:0010468,"regulation of gene expression",10.815%,-0.5887,0.768,0.434,"nucleotide-excision repair, DNA damage recognition"
GO:0007077,"mitotic nuclear envelope disassembly",0.000%,-0.7783,0.807,0.699,"nucleotide-excision repair, DNA damage recognition"
GO:0070911,"global genome nucleotide-excision repair",0.003%,-0.9241,0.828,0.624,"nucleotide-excision repair, DNA damage recognition"
GO:0007050,"cell cycle arrest",0.040%,-0.3308,0.744,0.599,"nucleotide-excision repair, DNA damage recognition"
GO:0090267,"positive regulation of mitotic cell cycle spindle assembly checkpoint",0.002%,-1.7375,0.663,0.652,"nucleotide-excision repair, DNA damage recognition"
GO:1902857,"positive regulation of non-motile cilium assembly",0.002%,-1.4989,0.713,0.572,"nucleotide-excision repair, DNA damage recognition"
GO:0070936,"protein K48-linked ubiquitination",0.011%,-0.7312,0.886,0.586,"nucleotide-excision repair, DNA damage recognition"
GO:0007020,"microtubule nucleation",0.044%,-1.0655,0.780,0.663,"nucleotide-excision repair, DNA damage recognition"
GO:0016925,"protein sumoylation",0.045%,-0.5284,0.877,0.618,"nucleotide-excision repair, DNA damage recognition"
GO:0006999,"nuclear pore organization",0.009%,-1.3261,0.860,0.461,"nucleotide-excision repair, DNA damage recognition"
GO:0051591,"response to cAMP",0.010%,-0.4987,0.874,0.582,"nucleotide-excision repair, DNA damage recognition"
GO:0019074,"viral RNA genome packaging",0.000%,-2.3372,0.862,0.241,"nucleotide-excision repair, DNA damage recognition"
GO:0061511,"centriole elongation",0.001%,-1.9431,0.803,0.330,"nucleotide-excision repair, DNA damage recognition"
GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",0.002%,-1.5143,0.670,0.669,"nucleotide-excision repair, DNA damage recognition"
GO:0097711,"ciliary basal body docking",0.001%,-0.5430,0.825,0.605,"nucleotide-excision repair, DNA damage recognition"
GO:0038063,"collagen-activated tyrosine kinase receptor signaling pathway",0.005%,-1.2874,0.786,0.237,"nucleotide-excision repair, DNA damage recognition"
GO:0000732,"strand displacement",0.001%,-1.0066,0.914,0.269,"nucleotide-excision repair, DNA damage recognition"
GO:0000731,"DNA synthesis involved in DNA repair",0.019%,-0.6977,0.810,0.448,"nucleotide-excision repair, DNA damage recognition"
GO:0070129,"regulation of mitochondrial translation",0.006%,-1.4685,0.711,0.515,"nucleotide-excision repair, DNA damage recognition"
GO:1902990,"mitotic telomere maintenance via semi-conservative replication",0.000%,-1.8633,0.729,0.409,"nucleotide-excision repair, DNA damage recognition"
GO:0042795,"snRNA transcription from RNA polymerase II promoter",0.003%,-0.6977,0.907,0.218,"nucleotide-excision repair, DNA damage recognition"
GO:0040007,"growth",0.317%,-0.3358,0.992,0.000,"growth"
GO:0046827,"positive regulation of protein export from nucleus",0.006%,-2.3372,0.758,0.000,"positive regulation of protein export from nucleus"
GO:0010718,"positive regulation of epithelial to mesenchymal transition",0.008%,-0.8380,0.606,0.567,"positive regulation of protein export from nucleus"
GO:0044860,"protein localization to plasma membrane raft",0.001%,-1.7375,0.797,0.404,"positive regulation of protein export from nucleus"
GO:0035459,"cargo loading into vesicle",0.002%,-1.3063,0.793,0.397,"positive regulation of protein export from nucleus"
GO:0071805,"potassium ion transmembrane transport",0.331%,-0.3798,0.835,0.400,"positive regulation of protein export from nucleus"
GO:0050860,"negative regulation of T cell receptor signaling pathway",0.003%,-1.0550,0.677,0.628,"positive regulation of protein export from nucleus"
GO:0050848,"regulation of calcium-mediated signaling",0.017%,-0.5977,0.759,0.588,"positive regulation of protein export from nucleus"
GO:0050821,"protein stabilization",0.045%,-1.6819,0.853,0.368,"positive regulation of protein export from nucleus"
GO:0032364,"oxygen homeostasis",0.001%,-1.6882,0.875,0.299,"positive regulation of protein export from nucleus"
GO:1904527,"negative regulation of microtubule binding",0.000%,-1.7959,0.899,0.423,"positive regulation of protein export from nucleus"
GO:0006890,"retrograde vesicle-mediated transport, Golgi to ER",0.047%,-0.6162,0.932,0.596,"positive regulation of protein export from nucleus"
GO:0007257,"activation of JUN kinase activity",0.005%,-0.9169,0.630,0.653,"positive regulation of protein export from nucleus"
GO:0035914,"skeletal muscle cell differentiation",0.015%,-0.7989,0.698,0.678,"positive regulation of protein export from nucleus"
GO:0050764,"regulation of phagocytosis",0.013%,-0.6633,0.716,0.560,"positive regulation of protein export from nucleus"
GO:0010569,"regulation of double-strand break repair via homologous recombination",0.007%,-1.2358,0.727,0.480,"positive regulation of protein export from nucleus"
GO:0034504,"protein localization to nucleus",0.129%,-0.4325,0.902,0.563,"positive regulation of protein export from nucleus"
GO:0045947,"negative regulation of translational initiation",0.008%,-1.1107,0.755,0.522,"positive regulation of protein export from nucleus"
GO:0043550,"regulation of lipid kinase activity",0.021%,-1.1439,0.788,0.453,"positive regulation of protein export from nucleus"
GO:0070327,"thyroid hormone transport",0.004%,-1.6882,0.801,0.289,"positive regulation of protein export from nucleus"
GO:1900041,"negative regulation of interleukin-2 secretion",0.001%,-1.6021,0.638,0.600,"positive regulation of protein export from nucleus"
GO:0014068,"positive regulation of phosphatidylinositol 3-kinase signaling",0.013%,-1.3904,0.719,0.426,"positive regulation of protein export from nucleus"
GO:0070373,"negative regulation of ERK1 and ERK2 cascade",0.013%,-0.6859,0.638,0.680,"positive regulation of protein export from nucleus"
GO:0015758,"glucose transport",0.041%,-0.9867,0.886,0.326,"positive regulation of protein export from nucleus"
GO:0031990,"mRNA export from nucleus in response to heat stress",0.004%,-1.9431,0.760,0.677,"positive regulation of protein export from nucleus"
GO:0043488,"regulation of mRNA stability",0.018%,-0.9094,0.812,0.541,"positive regulation of protein export from nucleus"
GO:0032536,"regulation of cell projection size",0.003%,-1.2874,0.783,0.317,"positive regulation of protein export from nucleus"
GO:0072656,"maintenance of protein location in mitochondrion",0.001%,-1.7959,0.778,0.390,"positive regulation of protein export from nucleus"
GO:0043433,"negative regulation of sequence-specific DNA binding transcription factor activity",0.031%,-0.4312,0.756,0.605,"positive regulation of protein export from nucleus"
GO:0001558,"regulation of cell growth",0.094%,-0.3578,0.730,0.678,"positive regulation of protein export from nucleus"
GO:0090263,"positive regulation of canonical Wnt signaling pathway",0.019%,-0.4600,0.690,0.650,"positive regulation of protein export from nucleus"
GO:0007030,"Golgi organization",0.039%,-0.5075,0.856,0.693,"positive regulation of protein export from nucleus"
GO:0045599,"negative regulation of fat cell differentiation",0.009%,-0.7937,0.669,0.671,"positive regulation of protein export from nucleus"
GO:0001765,"membrane raft assembly",0.006%,-1.3468,0.819,0.452,"positive regulation of protein export from nucleus"
GO:0002587,"negative regulation of antigen processing and presentation of peptide antigen via MHC class II",0.000%,-1.9431,0.828,0.349,"positive regulation of protein export from nucleus"
GO:0042403,"thyroid hormone metabolic process",0.004%,-1.1355,0.838,0.640,"positive regulation of protein export from nucleus"
GO:1903077,"negative regulation of protein localization to plasma membrane",0.004%,-1.1107,0.664,0.665,"positive regulation of protein export from nucleus"
GO:0006404,"RNA import into nucleus",0.003%,-1.9431,0.905,0.601,"positive regulation of protein export from nucleus"
GO:0000122,"negative regulation of transcription from RNA polymerase II promoter",0.199%,-0.5291,0.741,0.625,"positive regulation of protein export from nucleus"
GO:0060338,"regulation of type I interferon-mediated signaling pathway",0.006%,-0.8887,0.704,0.648,"positive regulation of protein export from nucleus"
GO:0034260,"negative regulation of GTPase activity",0.007%,-2.0915,0.825,0.137,"positive regulation of protein export from nucleus"
GO:0010832,"negative regulation of myotube differentiation",0.003%,-1.2692,0.682,0.382,"positive regulation of protein export from nucleus"
GO:0000189,"MAPK import into nucleus",0.001%,-1.8633,0.693,0.624,"positive regulation of protein export from nucleus"
GO:0046832,"negative regulation of RNA export from nucleus",0.000%,-2.0362,0.783,0.691,"positive regulation of protein export from nucleus"
GO:1902992,"negative regulation of amyloid precursor protein catabolic process",0.001%,-1.3261,0.801,0.368,"positive regulation of protein export from nucleus"
GO:0008360,"regulation of cell shape",0.640%,-0.3714,0.540,0.603,"positive regulation of protein export from nucleus"
GO:0001678,"cellular glucose homeostasis",0.049%,-0.4227,0.795,0.533,"positive regulation of protein export from nucleus"
GO:0048205,"COPI coating of Golgi vesicle",0.001%,-1.7375,0.781,0.374,"positive regulation of protein export from nucleus"
GO:0045727,"positive regulation of translation",0.082%,-0.4312,0.714,0.623,"positive regulation of protein export from nucleus"
GO:0072060,"outer medullary collecting duct development",0.000%,-2.6383,0.788,0.000,"outer medullary collecting duct development"
GO:0050905,"neuromuscular process",0.023%,-0.5259,0.815,0.649,"outer medullary collecting duct development"
GO:0001957,"intramembranous ossification",0.001%,-1.5638,0.800,0.347,"outer medullary collecting duct development"
GO:0071260,"cellular response to mechanical stimulus",0.011%,-0.6162,0.868,0.528,"outer medullary collecting duct development"
GO:0044691,"tooth eruption",0.000%,-1.9431,0.772,0.478,"outer medullary collecting duct development"
GO:0060482,"lobar bronchus development",0.001%,-1.6421,0.757,0.644,"outer medullary collecting duct development"
GO:0016332,"establishment or maintenance of polarity of embryonic epithelium",0.000%,-2.6383,0.746,0.505,"outer medullary collecting duct development"
GO:0055093,"response to hyperoxia",0.003%,-1.0991,0.891,0.477,"outer medullary collecting duct development"
GO:0050795,"regulation of behavior",0.021%,-0.7402,0.880,0.646,"outer medullary collecting duct development"
GO:0060535,"trachea cartilage morphogenesis",0.001%,-2.0362,0.753,0.491,"outer medullary collecting duct development"
GO:0021599,"abducens nerve formation",0.000%,-2.3372,0.787,0.333,"outer medullary collecting duct development"
GO:0072236,"metanephric loop of Henle development",0.001%,-1.7959,0.749,0.612,"outer medullary collecting duct development"
GO:0070307,"lens fiber cell development",0.003%,-1.5302,0.717,0.654,"outer medullary collecting duct development"
GO:0043589,"skin morphogenesis",0.002%,-1.3468,0.756,0.516,"outer medullary collecting duct development"
GO:0022009,"central nervous system vasculogenesis",0.001%,-1.9431,0.737,0.422,"outer medullary collecting duct development"
GO:0036342,"post-anal tail morphogenesis",0.005%,-1.2692,0.808,0.369,"outer medullary collecting duct development"
GO:0060710,"chorio-allantoic fusion",0.001%,-1.4413,0.733,0.576,"outer medullary collecting duct development"
GO:0030574,"collagen catabolic process",0.005%,-1.4935,0.739,0.413,"outer medullary collecting duct development"
GO:0007634,"optokinetic behavior",0.001%,-2.6383,0.732,0.292,"outer medullary collecting duct development"
GO:0072054,"renal outer medulla development",0.000%,-2.3372,0.774,0.523,"outer medullary collecting duct development"
GO:0072053,"renal inner medulla development",0.000%,-2.3372,0.773,0.581,"outer medullary collecting duct development"
GO:0007605,"sensory perception of sound",0.039%,-2.1192,0.810,0.383,"outer medullary collecting duct development"
GO:1903905,"positive regulation of establishment of T cell polarity",0.000%,-2.3372,0.770,0.531,"outer medullary collecting duct development"
GO:0034109,"homotypic cell-cell adhesion",0.015%,-0.5638,0.923,0.640,"outer medullary collecting duct development"
GO:0048844,"artery morphogenesis",0.012%,-0.6598,0.752,0.647,"outer medullary collecting duct development"
GO:0030168,"platelet activation",0.021%,-0.3111,0.600,0.596,"outer medullary collecting duct development"
GO:0001541,"ovarian follicle development",0.011%,-0.6938,0.731,0.648,"outer medullary collecting duct development"
GO:0060736,"prostate gland growth",0.002%,-1.0762,0.736,0.646,"outer medullary collecting duct development"
GO:0010812,"negative regulation of cell-substrate adhesion",0.010%,-1.6073,0.810,0.602,"outer medullary collecting duct development"
GO:0060325,"face morphogenesis",0.006%,-0.9393,0.804,0.420,"outer medullary collecting duct development"
GO:0001702,"gastrulation with mouth forming second",0.008%,-1.0348,0.750,0.632,"outer medullary collecting duct development"
GO:0048702,"embryonic neurocranium morphogenesis",0.002%,-1.6021,0.737,0.627,"outer medullary collecting duct development"
GO:0009948,"anterior/posterior axis specification",0.018%,-2.0088,0.756,0.443,"outer medullary collecting duct development"
GO:0009411,"response to UV",0.054%,-0.4130,0.892,0.687,"outer medullary collecting duct development"
GO:0060876,"semicircular canal formation",0.001%,-2.6383,0.745,0.456,"outer medullary collecting duct development"
GO:0048102,"autophagic cell death",0.006%,-1.5302,0.888,0.032,"autophagic cell death"
GO:0043154,"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.017%,-0.5406,0.701,0.689,"autophagic cell death"
GO:0032434,"regulation of proteasomal ubiquitin-dependent protein catabolic process",0.033%,-0.4757,0.764,0.692,"autophagic cell death"
GO:2000811,"negative regulation of anoikis",0.003%,-1.0878,0.791,0.540,"autophagic cell death"
GO:0043523,"regulation of neuron apoptotic process",0.033%,-0.7392,0.813,0.625,"autophagic cell death"
GO:0048144,"fibroblast proliferation",0.014%,-0.5031,0.938,0.044,"fibroblast proliferation"
GO:0072089,"stem cell proliferation",0.029%,-0.4295,0.936,0.648,"fibroblast proliferation"
GO:0006501,"C-terminal protein lipidation",0.004%,-0.8153,0.900,0.077,"C-terminal protein lipidation"
GO:0006256,"UDP catabolic process",0.001%,-2.3372,0.841,0.099,"UDP catabolism"
GO:0000290,"deadenylation-dependent decapping of nuclear-transcribed mRNA",0.019%,-1.8633,0.874,0.481,"UDP catabolism"
GO:0070647,"protein modification by small protein conjugation or removal",0.821%,-0.4298,0.875,0.439,"UDP catabolism"
GO:0035335,"peptidyl-tyrosine dephosphorylation",0.255%,-0.5031,0.875,0.314,"UDP catabolism"
GO:0006768,"biotin metabolic process",0.081%,-1.3686,0.844,0.285,"UDP catabolism"
GO:0061621,"canonical glycolysis",0.001%,-0.9551,0.832,0.445,"UDP catabolism"
GO:0006554,"lysine catabolic process",0.031%,-1.5302,0.837,0.445,"UDP catabolism"
GO:0006102,"isocitrate metabolic process",0.022%,-1.6421,0.877,0.160,"UDP catabolism"
GO:0006094,"gluconeogenesis",0.262%,-0.6289,0.885,0.629,"UDP catabolism"
GO:0006090,"pyruvate metabolic process",0.817%,-0.6430,0.849,0.604,"UDP catabolism"
GO:0038083,"peptidyl-tyrosine autophosphorylation",0.011%,-0.7270,0.888,0.311,"UDP catabolism"
GO:0031124,"mRNA 3'-end processing",0.066%,-0.5558,0.890,0.603,"UDP catabolism"
GO:0051156,"glucose 6-phosphate metabolic process",0.319%,-1.1226,0.928,0.302,"UDP catabolism"
GO:0071044,"histone mRNA catabolic process",0.003%,-1.4685,0.885,0.696,"UDP catabolism"
GO:0046835,"carbohydrate phosphorylation",0.230%,-1.2041,0.922,0.200,"UDP catabolism"
